Hypothes.is and ui developer
Hypothes.is and ui developer lead
NWA project leader
CBCM project leader and expert
Text annotation leader and expert 
Data architect and engineer
Student assistant on knowledge graph
Student assistant on text annotation
RiskSearch project manager
